id,title,logo,stream_url,source,visible,weight
Tennis,Tennis Channel,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Tennis%20Channel.png,,xmltv,0,226
Willow Cricket (WILLOW),Willow Cricket,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Willow%20Cricket.png,,xmltv,0,227
NBATV,NBA TV,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/NBA%20TV.png,,xmltv,1,128
MLB,MLB Network,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/MLB%20Network.png,,xmltv,1,127
NFL,NFL Network,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/NFL%20Network.png,,xmltv,1,129
NHL NET,NHL Network,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/NHL%20Network.png,,xmltv,1,130
BIGTEN,Big Ten Network,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Big%20Ten%20Network.png,,xmltv,0,228
ESPN US,ESPN,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/ESPN.png,,xmltv,1,108
ESPN 2,ESPN 2,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/ESPN%202.png,,xmltv,1,111
ESPNU,ESPN U,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/ESPN%20U.png,,xmltv,1,112
SEC,SEC Network,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/SEC%20Network.png,,xmltv,0,229
MSG,MSG,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/MSG.png,,xmltv,0,230
FS1,Fox Sports 1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Fox%20Sports%201.png,,xmltv,1,109
FS2,Fox Sports 2,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Fox%20Sports%202.png,,xmltv,1,110
WWEHD,WWE Network,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/WWE%20Network.png,,xmltv,0,231
MTV UK,MTV Music,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/MTV%20Music.png,,xmltv,0,232
MTV,MTV,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/MTV.png,,xmltv,1,233
MTV Base,MTV Base,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/MTV%20Base.png,,xmltv,0,234
MTV Hits,MTV Hits,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/MTV%20Hits.png,,xmltv,0,235
MTV Dance,MTV Dance,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/MTV%20Dance.png,,xmltv,0,236
MTV Rocks,MTV ROCKS,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/MTV%20ROCKS.png,,xmltv,0,237
MTV Classic,MTV CLASSIC,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/MTV%20CLASSIC.png,,xmltv,0,238
VH1UK,VH1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/VH1.png,,xmltv,1,239
VH1,VH1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/VH1.png,,xmltv,0,240
Viva,VIVA,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/VIVA.png,,xmltv,0,241
The Box,The Box,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/The%20Box.png,,xmltv,0,242
Smash Hits!,Smash Hits!,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Smash%20Hits!.png,,xmltv,0,243
Magic TV,Magic,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Magic.png,,xmltv,0,244
Scuzz,Scuzz,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Scuzz.png,,xmltv,0,245
Kerrang! TV,Kerrang!,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Kerrang!.png,,xmltv,0,246
VOX Music TV,Vox Music TV,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Vox%20Music%20TV.png,,xmltv,0,247
ESKA TV,Eska TV,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Eska%20TV.png,,xmltv,0,248
